Year,Month,Professional Area,License Type,County,State,Count
2025,February,Cosmetology,Manicurist,Unknown or Out of State,IL,27
2025,February,Camping Resorts,Camping Resort Salesperson,Pierce,WA,6
2025,February,Cosmetology,Manicurist,Franklin,WA,199
2025,February,Body Art and Body Piercing,Tattoo Artist,Douglas,WA,8
2025,February,Funerals,Prearrangement Funeral Services,Grant,WA,2
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Kitsap,WA,16
2025,February,Real Estate,Real Estate Branch,Pacific,WA,5
2025,February,Collection Agency,Out Of State Collection Agency,Unknown or Out of State,MA,9
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,VA,39
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Clallam,WA,10
2025,February,Real Estate,Real Estate Broker,Unknown or Out of State,CO,13
2025,February,Appraisers - Real Estate,Appraiser Course,Unknown or Out of State,CO,23
2025,February,CDL Training and Examining,CDL Training Provider-Employer,King,WA,81
2025,February,Camping Resorts,Camping Resort Company,Whatcom,WA,1
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,LA,11
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,CO,51
2025,February,Appraisers - Real Estate,State Licensed Appraiser,Unknown or Out of State,MI,1
2025,February,Bail Bonds,Bail Bond Recovery Agent,Pierce,WA,14
2025,February,Cosmetology,Personal Service,Pierce,WA,11
2025,February,Real Estate,Real Estate Broker,Snohomish,WA,4132
2025,February,Cosmetology,Salon Shop,Island,WA,136
2025,February,Cemeteries,Crematory Operator,Benton,WA,11
2025,February,Appraisers - Real Estate,Temporary Certified General,Unknown or Out of State,CA,9
2025,February,Real Estate,Real Estate Managing Broker,Unknown or Out of State,OR,444
2025,February,Architects,Architect,Unknown or Out of State,NV,46
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Yakima,WA,33
2025,February,Collection Agency,Out Of State Collection Agency,Unknown or Out of State,NJ,15
2025,February,Real Estate,Real Estate Broker,Unknown or Out of State,VA,5
2025,February,Body Art and Body Piercing,Artist Event,Clark,WA,3
2025,February,Bail Bonds,Bail Bond Recovery Agent,Snohomish,WA,12
2025,February,Timeshares,Timeshare Company,Unknown or Out of State,NV,5
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,VT,2
2025,February,Cosmetology,Master Esthetician,Unknown or Out of State,TX,10
2025,February,Appraisers - Real Estate,Certified General Appraiser,Skagit,WA,5
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,DC,43
2025,February,Cosmetology,Instructor,Unknown or Out of State,OR,25
2025,February,Funerals,Funeral Director Intern,Benton,WA,7
2025,February,Cosmetology,Hair Designer,Clallam,WA,3
2025,February,Security Guards,Security Guard Company,Clark,WA,32
2025,February,Cosmetology,Salon Shop,Asotin,WA,29
2025,February,Auctioneers and Auction Company,Auction Company,Lincoln,WA,1
2025,February,Bail Bonds,Bail Bond Agent,King,WA,21
2025,February,Auctioneers and Auction Company,Auctioneer,Unknown or Out of State,OR,4
2025,February,Cosmetology,Personal Service,Spokane,WA,16
